airport_id	airport_name	city	country	airport_iata	airport_icao	latitude	longitude
6421	Inishmore Aerodrome	Inis Mor	Ireland	IOR	EIIM	53.1067008972	-9.6536102295
6422	Connemara Regional Airport	Indreabhan	Ireland	NNR	EICA	53.2303009033	-9.4677801132
6423	Rügen Airport	Ruegen	Germany	GTI	EDCG	54.3833312988	13.3255558014
6424	Berezovo Airport	Berezovo	Russia	EZV	USHB	63.9210014343	65.0305023193
6425	Szczecin-Dąbie Airport	Szczecin	Poland	null	EPSD	53.3921012878	14.6337995529
6426	Worcester Regional Airport	Worcester	United States of America	ORH	KORH	42.2672996521	-71.8757019043
6427	Anqing Tianzhushan Airport	Anqing	China	AQG	ZSAQ	30.582199	117.050003
6429	Shanhaiguan Airport	Qinhuangdao	China	SHP	ZBSH	39.968102	119.731003
6430	Yuncheng Guangong Airport	Yuncheng	China	YCU	ZBYC	35.116391	111.031388889
6431	Lanzhou City Airport	Lanzhou	China	null	ZLAN	36.033333	103.86667
6432	Jiayuguan Airport	Jiayuguan	China	JGN	ZLJQ	39.856899	98.3414
6433	Dandong Airport	Dandong	China	DDG	ZYDD	40.0247	124.286003
6434	Ordos Ejin Horo Airport	Dongsheng	China	DSN	ZBDS	39.49	109.861388889
6435	"'""Bao''anying Airport""'"	Panzhihua	China	PZI	ZUZH	26.54	101.79852
6445	Bremerton National Airport	Bremerton	United States of America	PWT	KPWT	47.4902000427	-122.7649993897
6446	Spencer Municipal Airport	Spencer	United States of America	SPW	KSPW	43.1655006409	-95.202796936
6447	Jefferson City Memorial Airport	Jefferson City	United States of America	JEF	KJEF	38.5912017822	-92.1560974121
6450	Tannheim Airfield	Tannheim	Germany	null	EDMT	48.009998	10.098611
6454	Unst Airport	Unst	United Kingdom	UNT	EGPW	60.7472000122	-0.8538500071
6455	Berkley Structures Heliport	Pagerungan	Indonesia	null	WA19	47.682043	-122.148456
6456	Provincetown Municipal Airport	Provincetown	United States of America	PVC	KPVC	42.0718994141	-70.2213973999
6458	Anduki Airport	Seria	Brunei	null	WBAK	4.6370000839	114.382003784
6460	Gustaf III Airport	Gustavia	France	SBH	TFFJ	17.9043998718	-62.8436012268
6464	Kostroma Sokerkino Airport	Kostroma	Russia	KMW	UUBA	57.7969017029	41.0194015503
6465	Sukhumi Dranda Airport	Sukhumi	Georgia	SUI	UGSS	42.8582000732	41.1281013489
6466	Donskoye Airport	Tambow	Russia	TBW	UUOT	52.806098938	41.48279953
6467	Oban Airport	North Connel	United Kingdom	OBN	EGEO	56.4635009766	-5.3996701241
6477	Erechim Airport	Erechim	Brazil	ERM	SSER	-27.6618995667	-52.2682991028
6478	La Côte Airport	Prangins	Switzerland	null	LSGP	46.4063987732	6.2580599785
6479	Courchevel Airport	Courcheval	France	CVF	LFLJ	45.3967018127	6.6347198486
6481	Fullerton Municipal Airport	Fullerton	United States of America	FUL	KFUL	33.8720016479	-117.980003357
6482	Concord-Padgett Regional Airport	Concord	United States of America	USA	KJQF	35.387798	-80.709099
6483	Isle of Wight / Sandown Airport	Isle Of Wight	United Kingdom	null	EGHN	50.653099	-1.18221998
6485	Navoi Airport	Navoi	Uzbekistan	NVI	UTSA	40.1171989441	65.1707992554
6487	Andernos Les Bains Airport	Andernos-Les-Bains	France	null	LFCD	44.7561	-1.06333
6489	Bienenfarm Airport	Nauen	Germany	null	EDOI	52.661667	12.745833
6492	Ain Arnat Airport	Setif	Algeria	QSF	DAAS	36.1781005859	5.3244900703
6493	La Rochelle-Île de Ré Airport	La Rochelle	France	LRH	LFBH	46.1791992188	-1.1952799559
6494	Friedman Memorial Airport	Hailey	United States of America	SUN	KSUN	43.50439835	-114.2959976
6497	Yverdon-les-Bains Airport	Yverdon-Les-Bains	Switzerland	null	LSGY	46.7619018555	6.6133298874
6499	Bielsko Biala Airport	Bielsko-Biala	Poland	null	EPBA	49.8050003052	19.0018997192
6500	Mason City Municipal Airport	Mason City	United States of America	MCW	KMCW	43.1577987671	-93.3312988281
6505	Phoenix-Mesa-Gateway Airport	Mesa	United States of America	AZA	KIWA	33.30780029	-111.6549988
6506	Saúl Airport	Saul	French Guiana	XAU	SOOS	3.61361	-53.204201
6511	Tekapo Aerodrome	Lake Tekapo	New Zealand	null	NZTL	-44.0052986145	170.444000244
6519	Niederoeblarn Airport	Niederoeblarn	Austria	null	LOGO	47.478298	14.0083
6520	Vöslau Airport	Bad Voeslau	Austria	null	LOAV	47.9650001526	16.2600002289
6522	Uetersen/Heist Airport	Uetersen	Germany	null	EDHE	53.6463890076	9.704167366
6712	Anaktuvuk Pass Airport	Anaktuvuk Pass	United States of America	AKP	PAKP	68.13359833	-151.7429962
6713	Anvik Airport	Anvik	United States of America	ANV	PANV	62.646702	-160.190994
6714	Atqasuk Edward Burnell Sr Memorial Airport	Atqasuk	United States of America	ATK	PATQ	70.467300415	-157.4360046387
6715	Gambell Airport	Gambell	United States of America	GAM	PAGM	63.7667999268	-171.733001709
6716	Hooper Bay Airport	Hooper Bay	United States of America	HPB	PAHP	61.52389908	-166.1470032
6717	Kaltag Airport	Kaltag	United States of America	KAL	PAKV	64.31909943	-158.7409973
6718	"'""St Mary''s Airport""'"	"'""St Mary''s""'"	United States of America	KSM	PASM	62.0605011	-163.302002
6719	Kivalina Airport	Kivalina	United States of America	KVL	PAVL	67.7361984253	-164.56300354
6720	Mekoryuk Airport	Mekoryuk	United States of America	MYU	PAMY	60.3713989258	-166.2709960938
6722	Ruby Airport	Ruby	United States of America	RBY	PARY	64.72720337	-155.4700012
6723	Shishmaref Airport	Shishmaref	United States of America	SHH	PASH	66.249604	-166.089112
6724	Savoonga Airport	Savoonga	United States of America	SVA	PASA	63.6864013672	-170.4929962158
