airline_id	airline_name	country	airline_iata	airline_icao	alias
16723	Sprintair	Poland	null	SRN	null
16724	Red Jet Mexico	Mexico	4X	null	null
16725	Marusya Airways	Russia	Y8	MRS	Marusya Air
16726	Era Alaska	United States	7H	ERR	null
16728	AirRussia	Russia	R8	RRJ	RussianConector
16735	Hankook Air US	United States	H1	HA1	null
16794	Carpatair Flight Training	Romania	null	SMW	null
16796	I-Fly	Russia	H5	RSY	null
16826	Whitejets	Brazil	null	WTJ	null
16837	VickJet	France	KT	VKJ	null
16844	BVI Airways	British Virgin Islands	XV	null	null
16858	Hamburg Airways	Germany	null	HAY	null
16860	Salsa d\\'Haiti	Haiti	SO	SLC	null
16867	Zambezi Airlines (ZMA)	Zambia	ZJ	null	null
16868	Kan Air	Thailand	null	KND	null
16881	Air Cudlua	United Kingdom	null	CUD	Air Cudlua
16882	Polet Airlines (Priv)	Russia	YQ	null	null
16895	Air Explore	Slovakia	null	AXE	null
16901	12 North	India	12	N12	null
16919	Holidays Czech Airlines	Czech Republic	null	HCC	null
16921	Comtel Air	Austria	null	COE	null
16926	Mint Airways	Spain	null	MIC	null
16932	Orbit Airlines	United States	null	OBT	Orbit
16939	Air Bucharest	Romania	null	BUR	null
16940	AlbaStar	Spain	null	LAV	null
16942	Mauritania Airlines International	Mauritania	L6	MAI	null
16956	MAT Airways	Macedonia	6F	MKD	null
16960	Asian Wings Airways	Burma	AW	AWM	null
16963	Air Arabia Egypt	Egypt	E5	RBG	null
16967	Eagles Airlines	Italy	null	EGS	null
16973	YES Airways	Poland	null	YEP	null
16975	Alitalia Cityliner	Italy	CT	null	null
16983	Direct Aero Services	Romania	null	DSV	null
16985	Medallion Air	Romania	null	MDP	null
17022	Orchid Airlines	Australia	OI	ORC	null
17023	Asia Wings	Kazakhstan	Y5	AWA	null
17026	Georgian International Airlines	Georgia	null	GNN	null
17027	Air Batumi	Georgia	null	BTM	null
17082	Skywest Australia	Australia	XR	null	null
17083	Nile Air	Egypt	NP	NIA	null
17086	Feeder Airlines	Sudan	null	FDD	null
17094	Senegal Airlines	Senegal	DN	SGG	null
17095	Fly 6ix	Sierra Leone	6I	null	null
17099	Starbow Airlines	Ghana	S9	null	null
17115	Copenhagen Express	Denmark	0X	CX0	null
17408	BusinessAir	Thailand	8B	BCC	null
17519	SENIC AIRLINES	United States	YR	null	null
17563	XOJET	United States	null	XOJ	null
17571	Sky Wing Pacific	South Korea	C7	CR7	null
17572	Bateleur Air	South Africa	null	BEU	null
